type,energy,initial,min_gen,max_gen,operating_max_gen,min_uptime,min_downtime,ramp_up,ramp_down,start_cost,fixed_cost,variable_cost
coal1,coal,400,100.00,425,400,15,9,212.0,183.0,5000,208.610,22.536
coal2,coal,350,140.00,365,350,15,8,150.0,198.0,4550,117.370,31.985
gas1,gas,205,78.00,220,205,6,7,101.2,95.6,1320,174.120,70.500
gas2,gas,52,52.00,210,197,5,4,94.8,101.7,1291,172.750,69.000
gas3,gas,155,54.25,165,155,5,3,58.0,77.5,1280,95.353,32.146
gas4,gas,150,39.00,158,150,4,2,50.0,60.0,1105,144.520,54.840
diesel1,diesel,78,17.40,90,78,3,2,40.0,24.0,560,54.417,40.222
diesel2,diesel,76,15.20,87,76,3,2,60.0,45.0,554,54.551,40.522
diesel3,diesel,0,4.00,20,20,1,1,20.0,20.0,300,79.638,116.330
diesel4,diesel,0,2.40,12,12,1,1,12.0,12.0,250,16.259,76.642
